omzet,aset,modal_kerja,jumlah_investasi,jumlah_tenaga_kerja,bangunan_gedung,mesin_peralatan,mesin_peralatan_impor,pembelian_pematangan_tanah,lain_lain,tki,jenis_perusahaan,risiko_proyek,skala_usaha,status_penanaman_modal,kecamatan_usaha,kelurahan_usaha,kl_sektor_pembina,judul_kbli
500000000,1000000000,300000000,800000000,25,200000000,150000000,50000000,100000000,50000000,0,PT,Rendah,Menengah,PMDN,Cilacap Tengah,Cilacap,Pangan,Industri Makanan
750000000,1500000000,400000000,1000000000,35,300000000,200000000,100000000,150000000,75000000,0,PT,Rendah,Menengah,PMDN,Cilacap Tengah,Cilacap,Pangan,Industri Minuman
1000000000,2000000000,500000000,1500000000,50,400000000,300000000,150000000,200000000,100000000,0,PT,Rendah,Menengah,PMDN,Cilacap Utara,Gumilir,Pangan,Industri Pengolahan
10000000,50000000,5000000,20000000,5,10000000,8000000,0,5000000,2000000,0,CV,Sedang,Kecil,Non-Fasilitas,Cilacap Selatan,Tambakreja,Aneka,Kerajinan Tangan
15000000,75000000,8000000,30000000,7,15000000,12000000,0,8000000,3000000,0,CV,Sedang,Kecil,Non-Fasilitas,Cilacap Timur,Mertasinga,Aneka,Kerajinan Kayu
20000000,100000000,10000000,40000000,10,20000000,15000000,0,10000000,5000000,0,CV,Sedang,Kecil,PMDN,Cilacap Barat,Lomanis,Sandang,Konveksi
2000000,10000000,1500000,5000000,2,3000000,2000000,0,1000000,500000,0,UD,Tinggi,Mikro,Non-Fasilitas,Cilacap Selatan,Donan,Pangan,Makanan Ringan
3000000,15000000,2000000,7500000,3,5000000,3000000,0,2000000,1000000,0,UD,Tinggi,Mikro,Non-Fasilitas,Cilacap Utara,Kutawaru,Pangan,Jajanan Pasar
5000000,25000000,3000000,10000000,4,7500000,5000000,0,3000000,1500000,0,UD,Sedang,Mikro,Non-Fasilitas,Cilacap Tengah,Sidanegara,Aneka,Kerajinan Anyaman
8000000,40000000,5000000,15000000,6,10000000,8000000,0,5000000,2000000,0,CV,Sedang,Kecil,Non-Fasilitas,Cilacap Timur,Karangtalun,Aneka,Furniture
250000000,500000000,150000000,400000000,20,100000000,80000000,20000000,50000000,25000000,0,PT,Rendah,Menengah,PMDN,Cilacap Tengah,Cilacap,Logam & Mesin,Industri Logam
300000000,600000000,200000000,500000000,25,120000000,100000000,30000000,60000000,30000000,0,PT,Rendah,Menengah,PMDN,Cilacap Utara,Tritih Kulon,Kimia & Bahan Bangunan,Industri Kimia
400000000,800000000,250000000,600000000,30,150000000,120000000,40000000,75000000,35000000,0,PT,Rendah,Menengah,PMDN,Cilacap Barat,Sidakaya,Logam & Mesin,Industri Mesin
12000000,60000000,7500000,25000000,8,12000000,10000000,0,6000000,2500000,0,CV,Sedang,Kecil,Non-Fasilitas,Cilacap Selatan,Karangcengis,Sandang,Bordir
18000000,90000000,10000000,35000000,10,18000000,15000000,0,9000000,4000000,0,CV,Sedang,Kecil,PMDN,Cilacap Timur,Siderejo,Sandang,Batik
25000000,125000000,15000000,50000000,12,25000000,20000000,0,12000000,6000000,0,CV,Sedang,Kecil,PMDN,Cilacap Tengah,Tegalkamulyan,Pangan,Olahan Ikan
4000000,20000000,2500000,8000000,3,5000000,4000000,0,2000000,1000000,0,Perorangan,Tinggi,Mikro,Non-Fasilitas,Cilacap Selatan,Bunton,Pangan,Kue Kering
6000000,30000000,4000000,12000000,4,8000000,6000000,0,4000000,2000000,0,Perorangan,Tinggi,Mikro,Non-Fasilitas,Cilacap Utara,Bulaksari,Aneka,Souvenir
9000000,45000000,6000000,18000000,5,12000000,9000000,0,6000000,3000000,0,UD,Sedang,Mikro,Non-Fasilitas,Cilacap Tengah,Donan,Pangan,Olahan Susu
600000000,1200000000,350000000,900000000,40,250000000,200000000,80000000,120000000,60000000,0,PT,Rendah,Menengah,PMA,Cilacap Tengah,Cilacap,Pangan,Industri Pengalengan
800000000,1600000000,450000000,1200000000,45,300000000,250000000,100000000,150000000,80000000,0,PT,Rendah,Menengah,PMA,Cilacap Utara,Sidakaya,Logam & Mesin,Industri Otomotif
1200000000,2400000000,600000000,1800000000,60,450000000,350000000,150000000,200000000,100000000,0,PT,Rendah,Menengah,PMA,Cilacap Barat,Tambakreja,Kimia & Bahan Bangunan,Industri Plastik
35000000,175000000,20000000,70000000,15,35000000,30000000,0,18000000,9000000,0,CV,Sedang,Kecil,PMDN,Cilacap Timur,Widarapayung,Sandang,Garmen
40000000,200000000,25000000,80000000,18,40000000,35000000,0,20000000,10000000,0,CV,Sedang,Kecil,PMDN,Cilacap Selatan,Karangreja,Pangan,Olahan Daging
50000000,250000000,30000000,100000000,20,50000000,40000000,0,25000000,12000000,0,CV,Sedang,Kecil,PMDN,Cilacap Tengah,Lomanis,Aneka,Percetakan
7000000,35000000,5000000,14000000,4,9000000,7000000,0,4500000,2000000,0,UD,Sedang,Mikro,Non-Fasilitas,Cilacap Utara,Karangtalun,Aneka,Mainan Anak
11000000,55000000,8000000,22000000,6,14000000,11000000,0,7000000,3500000,0,UD,Sedang,Kecil,Non-Fasilitas,Cilacap Tengah,Sidanegara,Pangan,Olahan Singkong
13000000,65000000,9000000,26000000,7,16000000,13000000,0,8000000,4000000,0,CV,Sedang,Kecil,Non-Fasilitas,Cilacap Timur,Kubangkangkung,Aneka,Tas & Sepatu
350000000,700000000,220000000,550000000,28,140000000,110000000,35000000,70000000,35000000,0,PT,Rendah,Menengah,PMDN,Cilacap Barat,Bibirik,Logam & Mesin,Industri Elektronik
450000000,900000000,280000000,700000000,32,180000000,140000000,45000000,90000000,45000000,0,PT,Rendah,Menengah,PMDN,Cilacap Utara,Tritih Wetan,Kimia & Bahan Bangunan,Industri Cat
550000000,1100000000,330000000,850000000,38,220000000,170000000,55000000,110000000,55000000,0,PT,Rendah,Menengah,PMA,Cilacap Tengah,Sidakaya,Pangan,Industri Kopi
22000000,110000000,13000000,45000000,11,22000000,18000000,0,11000000,5500000,0,CV,Sedang,Kecil,PMDN,Cilacap Selatan,Karangcengis,Sandang,Sablon
28000000,140000000,16000000,55000000,14,28000000,23000000,0,14000000,7000000,0,CV,Sedang,Kecil,PMDN,Cilacap Timur,Karangpetir,Pangan,Catering
32000000,160000000,19000000,65000000,16,32000000,26000000,0,16000000,8000000,0,CV,Sedang,Kecil,PMDN,Cilacap Tengah,Cilacap,Aneka,Event Organizer
900000000,1800000000,500000000,1400000000,48,350000000,280000000,120000000,180000000,90000000,0,PT,Rendah,Menengah,PMA,Cilacap Barat,Gumilir,Logam & Mesin,Industri Pemipaan
1100000000,2200000000,550000000,1650000000,55,400000000,320000000,140000000,200000000,100000000,0,PT,Rendah,Menengah,PMA,Cilacap Utara,Sidanegara,Kimia & Bahan Bangunan,Industri Pupuk
1400000000,2800000000,700000000,2000000000,65,500000000,400000000,180000000,250000000,125000000,0,PT,Rendah,Menengah,PMA,Cilacap Tengah,Karangtalun,Pangan,Industri Susu
45000000,225000000,27000000,90000000,19,45000000,38000000,0,23000000,11000000,0,CV,Sedang,Kecil,PMDN,Cilacap Timur,Mertasinga,Sandang,Distro
55000000,275000000,33000000,110000000,22,55000000,45000000,0,28000000,14000000,0,CV,Sedang,Kecil,PMDN,Cilacap Selatan,Karangreja,Pangan,Bakery
65000000,325000000,39000000,130000000,24,65000000,52000000,0,32000000,16000000,0,CV,Sedang,Kecil,PMDN,Cilacap Barat,Lomanis,Aneka,Advertising
14000000,70000000,10000000,28000000,8,18000000,14000000,0,9000000,4500000,0,UD,Sedang,Kecil,Non-Fasilitas,Cilacap Utara,Kutawaru,Aneka,Laundry
16000000,80000000,11000000,32000000,9,20000000,16000000,0,10000000,5000000,0,CV,Sedang,Kecil,Non-Fasilitas,Cilacap Tengah,Donan,Pangan,Katering
19000000,95000000,13000000,38000000,10,24000000,19000000,0,12000000,6000000,0,CV,Sedang,Kecil,Non-Fasilitas,Cilacap Timur,Kubangkangkung,Aneka,Salon
650000000,1300000000,380000000,950000000,42,260000000,210000000,85000000,130000000,65000000,0,PT,Rendah,Menengah,PMA,Cilacap Barat,Tambakreja,Logam & Mesin,Industri Kapal
700000000,1400000000,420000000,1050000000,44,280000000,225000000,90000000,140000000,70000000,0,PT,Rendah,Menengah,PMA,Cilacap Utara,Sidakaya,Kimia & Bahan Bangunan,Industri Baja
850000000,1700000000,480000000,1250000000,46,320000000,260000000,105000000,160000000,80000000,0,PT,Rendah,Menengah,PMA,Cilacap Tengah,Cilacap,Pangan,Industri Gula
70000000,350000000,42000000,140000000,25,70000000,56000000,0,35000000,17000000,0,CV,Sedang,Kecil,PMDN,Cilacap Timur,Widarapayung,Sandang,Fashion
